año,trimestre,mbps_(media_de_bajada),trimestre.1
2024,1,139,Ene-Mar 2024
2023,4,139,Oct-Dic 2023
2023,3,129,Jul-Sept 2023
2023,2,123,Abr-Jun 2023
2023,1,110,Ene-Mar 2023
2022,4,106,Oct-Dic 2022
2022,3,62,Jul-Sept 2022
2022,2,58,Abr-Jun 2022
2022,1,55,Ene-Mar 2022
2021,4,52,Oct-Dic 2021
2021,3,48,Jul-Sept 2021
2021,2,45,Abr-Jun 2021
2021,1,43,Ene-Mar 2021
2020,4,42,Oct-Dic 2020
2020,3,40,Jul-Sept 2020
2020,2,38,Abr-Jun 2020
2020,1,37,Ene-Mar 2020
2019,4,28,Oct-Dic 2019
2019,3,24,Jul-Sept 2019
2019,2,20,Abr-Jun 2019
2019,1,17,Ene-Mar 2019
2018,4,15,Oct-Dic 2018
2018,3,15,Jul-Sept 2018
2018,2,13,Abr-Jun 2018
2018,1,13,Ene-Mar 2018
2017,4,12,Oct-Dic 2017
2017,3,8,Jul-Sept 2017
2017,2,7,Abr-Jun 2017
2017,1,6,Ene-Mar 2017
2016,4,6,Oct-Dic 2016
2016,3,5,Jul-Sept 2016
2016,2,5,Abr-Jun 2016
2016,1,5,Ene-Mar 2016
2015,4,4,Oct-Dic 2015
2015,3,4,Jul-Sept 2015
2015,2,4,Abr-Jun 2015
2015,1,4,Ene-Mar 2015
2014,4,4,Oct-Dic 2014
2014,3,3,Jul-Sept 2014
2014,2,3,Abr-Jun 2014
2014,1,3,Ene-Mar 2014
