año,trimestre,accesos_tv_por_suscripción_por_cada_100_hab,accesos_tv_satelital_por_cada_100_hab,accesos_tv_por_suscripción_por_cada_100_hogares,accesos_tv_satelital_por_cada_100_hogares
2024,1,16,3,51,9
2023,4,16,3,52,10
2023,3,16,3,52,11
2023,2,17,3,55,11
2023,1,16,3,53,12
2022,4,16,3,52,12
2022,3,16,4,52,14
2022,2,16,4,53,14
2022,1,16,4,52,14
2021,4,16,4,52,14
2021,3,16,4,53,15
2021,2,16,5,51,16
2021,1,16,4,51,15
2020,4,16,5,51,16
2020,3,16,5,51,17
2020,2,15,5,51,17
2020,1,15,5,51,17
2019,4,16,5,52,17
2019,3,15,5,51,17
2019,2,15,5,50,17
2019,1,15,5,50,17
2018,4,15,5,50,17
2018,3,15,5,51,18
2018,2,15,5,50,18
2018,1,15,5,50,18
2017,4,15,5,50,18
2017,3,15,5,49,19
2017,2,15,5,50,19
2017,1,14,5,49,18
2016,4,15,6,50,20
2016,3,14,6,50,20
2016,2,14,6,50,20
2016,1,14,5,50,19
2015,4,15,5,50,19
2015,3,15,5,50,20
2015,2,14,5,50,20
2015,1,14,5,49,19
2014,4,15,5,50,19
2014,3,15,5,50,19
2014,2,15,5,50,19
2014,1,12,5,42,18
