año,trimestre,accesos_telefonía_fija_por_cada_100_hab,accesos_telefonía_fija_por_cada_100_hogares
2024,1,14,46
2023,4,15,49
2023,3,15,50
2023,2,15,50
2023,1,15,50
2022,4,15,49
2022,3,15,49
2022,2,15,50
2022,1,15,51
2021,4,16,53
2021,3,15,49
2021,2,15,50
2021,1,15,51
2020,4,16,52
2020,3,16,52
2020,2,16,53
2020,1,16,53
2019,4,17,55
2019,3,17,56
2019,2,18,58
2019,1,18,60
2018,4,21,71
2018,3,21,70
2018,2,21,70
2018,1,21,70
2017,4,23,76
2017,3,23,75
2017,2,23,77
2017,1,23,76
2016,4,23,76
2016,3,23,75
2016,2,23,77
2016,1,23,76
2015,4,23,75
2015,3,23,76
2015,2,23,75
2015,1,23,76
2014,4,22,74
2014,3,22,73
2014,2,22,73
2014,1,22,74
